latitude,longitude,time,co,t
62.25,0.0,2018-05-01,1.1351313e-07,279.8651
62.25,0.75,2018-05-01,1.1372459e-07,280.00574
62.25,1.5,2018-05-01,1.1392877e-07,280.11902
62.25,2.25,2018-05-01,1.140852e-07,280.18542
62.25,3.0,2018-05-01,1.14674556e-07,280.18738
62.25,3.75,2018-05-01,1.16549025e-07,280.0155
62.25,4.5,2018-05-01,1.2097007e-07,279.40808
62.25,5.25,2018-05-01,1.3143335e-07,278.10535
62.25,6.0,2018-05-01,1.3337194e-07,276.1405
62.25,6.75,2018-05-01,1.3265844e-07,273.96667
62.25,7.5,2018-05-01,1.2880946e-07,272.18738
62.25,8.25,2018-05-01,1.2026385e-07,271.203
62.25,9.0,2018-05-01,1.2062537e-07,271.02332
62.25,9.75,2018-05-01,1.2099918e-07,271.36902
62.25,10.5,2018-05-01,1.2078772e-07,271.8534
62.25,11.25,2018-05-01,1.1819066e-07,272.18933
62.25,12.0,2018-05-01,1.1659086e-07,272.32996
62.25,12.75,2018-05-01,1.1588691e-07,272.4569
62.25,13.5,2018-05-01,1.17716816e-07,272.73425
62.25,14.25,2018-05-01,1.2092278e-07,273.0819
62.25,15.0,2018-05-01,1.2433611e-07,273.2948
62.25,15.75,2018-05-01,1.2692317e-07,273.40808
62.25,16.5,2018-05-01,1.317103e-07,273.80457
62.25,17.25,2018-05-01,1.314811e-07,274.7948
62.25,18.0,2018-05-01,1.2300052e-07,276.16785
62.25,18.75,2018-05-01,1.2091596e-07,277.2987
62.25,19.5,2018-05-01,1.2229339e-07,277.74597
62.25,20.25,2018-05-01,1.2220471e-07,277.58972
62.25,21.0,2018-05-01,1.2168357e-07,277.15222
62.25,21.75,2018-05-01,1.2138844e-07,276.56238
62.25,22.5,2018-05-01,1.2172814e-07,275.78113
62.25,23.25,2018-05-01,1.2571945e-07,274.95886
62.25,24.0,2018-05-01,1.284734e-07,274.51746
62.25,24.75,2018-05-01,1.375488e-07,274.75574
62.25,25.5,2018-05-01,1.4353373e-07,275.48035
62.25,26.25,2018-05-01,1.3920271e-07,276.18542
62.25,27.0,2018-05-01,1.3635645e-07,276.52332
62.25,27.75,2018-05-01,1.3165754e-07,276.49207
62.25,28.5,2018-05-01,1.2808732e-07,276.2323
62.25,29.25,2018-05-01,1.2544206e-07,275.80457
62.25,30.0,2018-05-01,1.2467399e-07,275.24792
62.25,30.75,2018-05-01,1.2484679e-07,274.68152
